Country,lon_Country,lat_Country
Australia,133.775136,-25.274398
Austria,14.550072,47.516231
Bangladesh,90.356331,23.684994
Barbados,-59.543198,13.193887
Belgium,4.469936,50.503887
Brazil,-51.92528,-14.235004
Canada,-106.346771,56.130366
Chile,-71.542969,-35.675147
China,104.195397,35.86166
C̫te d'Ivoire,-5.547079999999999,7.539988999999999
Croatia,15.2000001,45.1
Cyprus,33.429859,35.126413
Denmark,9.501785,56.26392
Dominican Republic,-70.162651,18.735693
Ethiopia,40.489673,9.145000000000001
Finland,25.7481511,61.92410999999999
France,2.213749,46.227638
Germany,10.451526,51.165691
Ghana,-1.023194,7.946527
Greece,21.824312,39.074208
India,78.96288,20.593684
Ireland,-7.692053599999999,53.1423672
Israel,34.851612,31.046051
Italy,12.56738,41.87194
Japan,138.252924,36.204824
Kenya,37.906193,-0.023559
Lithuania,23.881275,55.169438
Luxembourg,6.129582999999999,49.815273
Malawi,34.301525,-13.254308
Malaysia,101.975766,4.210484
Malta,14.375416,35.937496
Mexico,-102.552784,23.634501
Moldova,28.369885,47.411631
Myanmar (Burma),95.955974,21.916221
Nepal,84.12400799999999,28.394857
Netherlands,5.291265999999999,52.132633
New Zealand,174.885971,-40.900557
Nigeria,8.675277,9.081999
Norway,8.468945999999999,60.47202399999999
Poland,19.145136,51.919438
Portugal,-8.224454,39.39987199999999
Qatar,51.183884,25.354826
Russia,105.318756,61.52401
Rwanda,29.873888,-1.940278
Saudi Arabia,45.079162,23.885942
Serbia,21.005859,44.016521
Singapore,103.819836,1.352083
Slovakia,19.699024,48.669026
Slovenia,14.995463,46.151241
South Africa,22.937506,-30.559482
South Korea,127.766922,35.907757
Spain,-3.74922,40.46366700000001
Sri Lanka,80.77179699999999,7.873053999999999
Sudan,30.217636,12.862807
Sweden,18.643501,60.12816100000001
Switzerland,8.227511999999999,46.818188
Tanzania,34.888822,-6.369028
Thailand,100.992541,15.870032
Uganda,32.290275,1.373333
United Arab Emirates,53.847818,23.424076
United Kingdom,-3.435973,55.378051
United States,-95.712891,37.09024
Uruguay,-55.765835,-32.522779
Vietnam,108.277199,14.058324
